year,cement_t,local_t,exp_n_t,exp_s_t,total_exp_t,scope1a_combustion_tco2,scope1b_calcination_tco2,scope1_total_tco2,scope2_electricity_tco2,scope3_local_tco2,scope3_exp_n_tco2,scope3_exp_s_tco2,scope3_total_tco2,total_emissions_tco2
1991,7290000.0,7290000.0,0.0,0.0,0,3380585.868,3661607.355908011,7042193.223908011,517087.611571625,124694.3755031109,0.0,0.0,124694.3755031109,7683975.210982746
1992,7710000.0,7710000.0,0.0,0.0,0,3518899.2036,3872564.1583060035,7391463.361906003,570347.4342662005,131878.41359794035,0.0,0.0,131878.41359794035,8093689.209770144
1993,8320000.0,8320000.0,0.0,0.0,0,3756694.656,4178953.7998840404,7935648.45588404,620630.1180065479,142312.37368804973,0.0,0.0,142312.37368804973,8698590.947578639
1994,8140000.000000001,8140000.000000001,0.0,0.0,0,3576084.3360000006,4088543.7417134726,7664628.077713473,616572.6276566066,139233.50021883717,0.0,0.0,139233.50021883717,8420434.205588916
1995,8380000.000000001,8380000.000000001,0.0,0.0,0,3579257.2200000007,4209090.485940897,7788347.705940898,653749.53197926,143338.66484445398,0.0,0.0,143338.66484445398,8585435.902764611
1996,9430000.0,9430000.0,0.0,0.0,0,3912654.108,4736482.491935877,8649136.599935878,758023.4753740329,161298.76008152758,0.0,0.0,161298.76008152758,9568458.83539144
1997,9650000.0,9650000.0,0.0,0.0,0,4003935.54,4846983.674144349,8850919.21414435,777060.0493535132,165061.82765500963,0.0,0.0,165061.82765500963,9793041.091152873
1998,9190000.0,9190000.0,0.0,0.0,0,3768214.6656,4567853.083669824,8336067.749269824,780409.7968845112,157193.59545591075,0.0,0.0,157193.59545591075,9273671.141610246
1999,9620000.0,9620000.0,0.0,0.0,0,3874091.364,4781582.879750131,8655674.24375013,809507.8321264061,164548.68207680757,0.0,0.0,164548.68207680757,9629730.757953346
2000,9940000.0,9940000.0,0.0,0.0,0,3881657.472,4940637.611716871,8822295.083716871,867115.2203285696,170022.2349109633,0.0,0.0,170022.2349109633,9859432.538956404
2001,9930000.0,9930000.0,0.0,0.0,0,3756572.622,4935667.151342911,8692239.773342911,878304.3110571533,169851.18638489593,0.0,0.0,169851.18638489593,9740395.270784961
2002,9940000.0,9833380.0,106060.0,560.0,106620,3760355.676,4940637.611716871,8700993.287716871,867382.6067036527,168198.515526033,3628.2813349409994,3.831486983909032,171830.62834795794,9740206.52276848
2003,11450000.0,11019678.0,428602.0,1720.0,430322,4247759.471999999,5691177.128184927,9938936.600184925,985859.3120385674,188489.96796369963,14662.34807390517,11.768138593434886,203164.08417619823,11127959.99639969
2004,13660000.0,12541707.0,1088218.0,30075.0,1118293,5000953.32,6789648.870830227,11790602.190830227,1127485.842933301,214524.04967187854,37227.6169879957,205.77137685904313,251957.4380367333,13170045.47180026
2005,16350000.000000002,14784830.000000002,1516370.0,48800.0,1565170,5786242.110000001,8041158.4723579995,13827400.582358,1327430.5813861946,252892.3379656598,51874.57069455481,333.8867228835014,305100.7953830981,15459931.959127294
2006,18550000.0,17044841.0,1409492.0,95667.0,1505159,6338445.96,9123149.214815957,15461595.174815957,1469348.3021107428,291549.4930102634,48218.3058207492,654.5479737314739,340422.3468047441,17271365.823731445
2007,24260000.0,21032079.0,1929938.0,1297983.0,3227921,8289525.551999999,11931407.005468199,20220932.5574682,1945617.6691712607,359750.6113082433,66022.61006028063,8880.723160419999,434653.9445289439,22601204.1711684
2008,30293433.0,22576813.0,5111607.0,2605013.0,7716620,10351120.6476216,14740236.498472657,25091357.146094255,2465300.672823769,386173.05869485816,174866.56863712767,17823.345361453252,578862.9726934391,28135520.791611463
2009,31285810.0,20533323.0,6989136.0,3763351.0,10752487,10690211.105112,15223109.194863481,25913320.29997548,2614770.0510940575,351219.4634415177,239096.28225687536,25748.625664966145,616064.3713633593,29144154.7224329
2010,34199896.0,23550741.0,6952774.0,3696381.0,10649155,11518998.29936064,16641050.727501536,28160049.026862174,2820398.3943222193,402831.95358443214,237852.34895590306,25290.420873336876,665974.7234136721,31646422.144598067
2011,31427584.0,21999645.0,6688655.0,2739284.0,9427939,10355131.2218112,15292093.858613359,25647225.08042456,2525124.3930539656,376300.6851255331,228816.9158246256,18742.01962719691,623859.6205773556,28796209.09405588
2012,32514987.0,23947161.0,6266322.0,2301503.0,8567825,10713421.5936066,15651084.009250272,26364505.602856874,2553248.428164762,409612.6592547946,214369.0283927037,15746.74783558498,639728.4354830834,29557482.46650472
2013,33432852.0,25061501.0,6105816.0,2268289.0,8374105,11015850.584613599,16092898.18632961,27108748.77094321,2809949.6303161685,428673.2807085857,208878.16544770994,15519.49960579292,653070.9457620885,30571769.347021468
2014,34281883.0,26145355.0,5418214.0,2718314.0,8136528,11295599.3370594,16501579.128058353,27797178.465117753,2627234.206281051,447212.44362580776,185355.50372351514,18598.5441235316,651166.4914728545,31075579.16287166
2015,35400290.0,28206032.0,4466714.0,2727534.0,7194248,11491303.7130276,16854707.599080063,28346011.312107664,2761177.0700665857,482460.0199809003,152804.96921289508,18661.626819945246,653926.6160137407,31761114.99818799
2016,38872663.0,33000479.0,3851615.0,2020569.0,5872184,12333845.0470092,18507966.13424857,30841811.18125777,3051530.0582003044,564468.3292467115,131762.61374579277,13824.61397069659,710055.5569632008,34603396.796421275
2017,40315167.0,35651598.0,3149835.0,1513734.0,4663569,12791534.8331628,19194767.94097115,31986302.77413395,3350946.2940493855,609815.3289846308,107754.92682108133,10356.878782322423,727927.1345880345,36065176.202771366
2018,45893554.0,41146526.0,3081437.0,1665591.0,4747028,14785515.27772704,21610619.202052668,36396134.479779705,3625654.5374667402,703805.2625092615,105415.05140389013,11395.87542324291,820616.1893363945,40842405.206582844
2019,46869237.0,40333097.0,2524193.0,4011947.0,6536140,15443029.2637566,22070054.393646598,37513083.6574032,3725697.673213703,689891.6793582162,86351.89843191333,27449.504840415873,803693.0826305455,42042474.41324745
2020,47812141.0,39965043.0,1970388.0,5876710.0,7847098,15753708.399943799,22514054.4222365,38267762.8221803,3677326.7135317205,683596.1699368962,67406.39263616562,40208.103345014366,791210.6659180762,42736300.20163009
2021,57404600.0,48098000.0,5826175.236031107,3480624.7639688943,9306800,18914344.98228,26730661.866202526,45645006.84848253,4458702.223769274,822709.2006788242,199311.73734666358,23814.229426818332,1045835.1674523061,51149544.2397041
2022,52887500.0,47627800.0,3277869.5080795367,1979030.4919204628,5256900,16780590.255,24350546.975210726,41131137.23021072,4139604.9928448643,814666.4989831365,112134.94959963435,13540.409947414897,940341.8585301858,46211084.08158577
